Transaction ID,Date,Net Amount,Currency,Status,Customer,Description
TXN-001,2025-01-05,1250.00,EUR,completed,Acme Corp,Monthly subscription
TXN-002,2025-01-07,3500.00,EUR,completed,TechStart Ltd,Annual plan upgrade
TXN-003,2025-01-10,890.50,EUR,completed,Nordic Systems,Quarterly billing
TXN-004,2025-01-12,2100.00,EUR,completed,AfriTech Solutions,Enterprise license
TXN-005,2025-01-15,675.00,EUR,completed,Berlin Dynamics,Standard plan
TXN-006,2025-01-18,4200.00,EUR,completed,Lagos Fintech,Premium subscription
TXN-007,2025-01-20,1550.00,EUR,completed,Paris Digital,Monthly subscription
TXN-008,2025-01-22,950.00,EUR,failed,Cape Town Analytics,Payment declined
TXN-009,2025-01-25,2800.00,EUR,completed,Amsterdam Data Co,Quarterly billing
TXN-010,2025-01-28,1100.00,EUR,completed,Nairobi Tech Hub,Standard plan
TXN-011,2025-01-30,5500.00,EUR,completed,Munich Enterprises,Enterprise annual
TXN-012,2025-01-31,780.00,EUR,pending,Accra Innovations,Monthly subscription

